tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,gender,SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Churn,customerID
continuous,discrete,discrete,discrete,discrete,continuous,continuous,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,string
,,,,,,,,,,,,,,,,,,,class,meta
1.0,No,Month-to-month,Yes,Electronic check,29.85,29.85,Female,0,Yes,No,No phone service,DSL,No,Yes,No,No,No,No,No,7590-VHVEG
34.0,Yes,One year,No,Mailed check,56.95,1889.5,Male,0,No,No,No,DSL,Yes,No,Yes,No,No,No,No,5575-GNVDE
2.0,Yes,Month-to-month,Yes,Mailed check,53.85,108.15,Male,0,No,No,No,DSL,Yes,Yes,No,No,No,No,Yes,3668-QPYBK
45.0,No,One year,No,Bank transfer (automatic),42.3,1840.75,Male,0,No,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,No,7795-CFOCW
2.0,Yes,Month-to-month,Yes,Electronic check,70.7,151.65,Female,0,No,No,No,Fiber optic,No,No,No,No,No,No,Yes,9237-HQITU
8.0,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Female,0,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,9305-CDSKC
22.0,Yes,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,Male,0,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,No,1452-KIOVK
10.0,No,Month-to-month,No,Mailed check,29.75,301.9,Female,0,No,No,No phone service,DSL,Yes,No,No,No,No,No,No,6713-OKOMC
28.0,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Female,0,Yes,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,7892-POOKP
62.0,Yes,One year,No,Bank transfer (automatic),56.15,3487.95,Male,0,No,Yes,No,DSL,Yes,Yes,No,No,No,No,No,6388-TABGU
13.0,Yes,Month-to-month,Yes,Mailed check,49.95,587.45,Male,0,Yes,Yes,No,DSL,Yes,No,No,No,No,No,No,9763-GRSKD
16.0,Yes,Two year,No,Credit card (automatic),18.95,326.8,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,7469-LKBCI
58.0,Yes,One year,No,Credit card (automatic),100.35,5681.1,Male,0,Yes,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,No,8091-TTVAX
49.0,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Male,0,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,0280-XJGEX
25.0,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,Male,0,No,No,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,No,5129-JLPIS
69.0,Yes,Two year,No,Credit card (automatic),113.25,7895.15,Female,0,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No,3655-SNQYZ
52.0,Yes,One year,No,Mailed check,20.65,1022.95,Female,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,8191-XWSZG
71.0,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,Male,0,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,9959-WOFKT
10.0,Yes,Month-to-month,No,Credit card (automatic),55.2,528.35,Female,0,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,Yes,4190-MFLUW
21.0,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,Female,0,No,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,No,4183-MYFRB
1.0,No,Month-to-month,Yes,Electronic check,39.65,39.65,Male,1,No,No,No phone service,DSL,No,No,Yes,No,No,Yes,Yes,8779-QRDMV
12.0,Yes,One year,No,Bank transfer (automatic),19.8,202.25,Male,0,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,1680-VDCWW
1.0,Yes,Month-to-month,No,Mailed check,20.15,20.15,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1066-JKSGK
58.0,Yes,Two year,Yes,Credit card (automatic),59.9,3505.1,Female,0,Yes,No,Yes,DSL,No,Yes,No,Yes,No,No,No,3638-WEABW
49.0,Yes,Month-to-month,No,Credit card (automatic),59.6,2970.3,Male,0,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,No,6322-HRPFA
30.0,Yes,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,Female,0,No,No,No,DSL,Yes,Yes,No,No,No,No,No,6865-JZNKO
47.0,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Male,0,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,6467-CHFZW
1.0,No,Month-to-month,No,Electronic check,30.2,30.2,Male,0,Yes,Yes,No phone service,DSL,No,Yes,No,No,No,No,Yes,8665-UTDHZ
72.0,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,Male,0,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,5248-YGIJN
17.0,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Female,0,No,Yes,No,DSL,No,No,No,No,Yes,Yes,Yes,8773-HHUOZ
71.0,Yes,Two year,Yes,Credit card (automatic),96.35,6766.95,Female,1,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,No,3841-NFECX
2.0,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,Male,1,Yes,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,No,4929-XIHVW
27.0,Yes,One year,No,Mailed check,66.15,1874.45,Female,0,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,No,6827-IEAUQ
1.0,Yes,Month-to-month,No,Bank transfer (automatic),20.2,20.2,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,7310-EGVHZ
1.0,Yes,Month-to-month,No,Bank transfer (automatic),45.25,45.25,Male,1,No,No,No,DSL,No,No,No,No,No,No,No,3413-BMNZE
72.0,Yes,Two year,No,Bank transfer (automatic),99.9,7251.7,Female,0,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,No,6234-RAAPL
5.0,Yes,Month-to-month,Yes,Electronic check,69.7,316.9,Male,0,No,No,No,Fiber optic,No,No,No,No,No,No,Yes,6047-YHPVI
46.0,Yes,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,Female,0,No,No,No,Fiber optic,No,No,Yes,No,No,No,No,6572-ADKRS
34.0,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Male,0,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,5380-WJKOV
11.0,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Female,0,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,8168-UQWWF
10.0,Yes,One year,No,Mailed check,49.55,475.7,Male,0,Yes,Yes,No,DSL,No,Yes,No,No,No,No,No,8865-TNMNX
70.0,Yes,Two year,Yes,Credit card (automatic),69.2,4872.35,Female,0,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,No,9489-DEDVP
17.0,Yes,One year,No,Mailed check,20.75,418.25,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,9867-JCZSP
63.0,Yes,Two year,Yes,Credit card (automatic),79.85,4861.45,Female,0,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,4671-VJLCL
13.0,Yes,Month-to-month,Yes,Electronic check,76.2,981.45,Female,0,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,No,4080-IIARD
49.0,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,Female,0,No,No,Yes,Fiber optic,No,No,No,No,No,Yes,No,3714-NTNFO
2.0,Yes,Month-to-month,No,Mailed check,49.25,97.0,Male,0,No,No,No,DSL,No,Yes,No,No,No,No,No,5948-UJZLF
2.0,Yes,Month-to-month,Yes,Electronic check,80.65,144.15,Female,0,No,No,No,Fiber optic,No,No,No,No,Yes,No,Yes,7760-OYPDY
52.0,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,Male,0,No,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,No,7639-LIAYI
69.0,Yes,Two year,Yes,Credit card (automatic),64.15,4254.1,Female,0,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,No,2954-PIBKO
43.0,Yes,Month-to-month,Yes,Electronic check,90.25,3838.75,Female,1,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,No,8012-SOUDQ
15.0,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Female,0,No,No,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,9420-LOJKX
25.0,Yes,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,Female,1,Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,No,No,6575-SUVOI
8.0,Yes,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Female,1,Yes,No,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,7495-OOKFY
60.0,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,Female,1,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,4667-QONEA
18.0,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Male,1,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,1658-BYGOY
63.0,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,Female,0,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,No,8769-KKTPH
66.0,Yes,One year,Yes,Electronic check,108.45,7076.35,Male,1,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No,5067-XJQFU
34.0,Yes,Two year,No,Credit card (automatic),24.95,894.3,Female,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,3957-SQXML
72.0,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,Female,0,No,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,No,5954-BDFSG
47.0,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,Female,0,Yes,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,No,0434-CSFON
60.0,Yes,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,Male,0,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,No,1215-FIGMP
72.0,No,Two year,No,Bank transfer (automatic),42.1,2962.0,Male,0,Yes,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,No,0526-SXDJP
18.0,Yes,One year,Yes,Credit card (automatic),54.4,957.1,Female,0,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,No,0557-ASKVU
9.0,Yes,Month-to-month,No,Electronic check,94.4,857.25,Female,0,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,5698-BQJOH
3.0,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,Female,0,No,No,No,DSL,No,Yes,No,Yes,Yes,Yes,No,5122-CYFXA
47.0,Yes,One year,Yes,Electronic check,78.9,3650.35,Male,0,Yes,No,Yes,Fiber optic,No,Yes,No,No,No,No,No,8627-ZYGSZ
31.0,Yes,Two year,No,Mailed check,79.2,2497.2,Female,0,No,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,No,3410-YOQBQ
50.0,Yes,Two year,No,Bank transfer (automatic),20.15,930.9,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,3170-NMYVV
10.0,Yes,Month-to-month,Yes,Mailed check,79.85,887.35,Male,0,No,No,No,Fiber optic,Yes,No,Yes,No,No,No,No,7410-OIEDU
1.0,Yes,Month-to-month,No,Mailed check,49.05,49.05,Male,0,No,No,No,DSL,No,No,No,Yes,No,No,No,2273-QCKXA
52.0,Yes,One year,Yes,Electronic check,20.4,1090.65,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,0731-EBJQB
64.0,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,Male,1,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,No,1891-QRQSA
62.0,Yes,Two year,Yes,Bank transfer (automatic),24.25,1424.6,Male,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,8028-PNXHQ
3.0,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,Female,0,No,Yes,No,DSL,Yes,No,No,Yes,No,Yes,No,5630-AHZIL
56.0,Yes,One year,No,Electronic check,110.5,6139.5,Female,1,No,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No,2673-CXQEU
46.0,Yes,One year,No,Credit card (automatic),55.65,2688.85,Female,0,No,No,No,DSL,No,No,No,No,No,Yes,No,6416-JNVRK
8.0,Yes,Month-to-month,No,Mailed check,54.65,482.25,Female,0,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,No,5590-ZSKRV
30.0,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,Male,1,No,No,No,DSL,Yes,Yes,No,No,Yes,Yes,No,0191-ZHSKZ
45.0,Yes,One year,Yes,Credit card (automatic),25.9,1216.6,Female,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,3887-PBQAO
1.0,Yes,Month-to-month,Yes,Electronic check,79.35,79.35,Female,0,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,5919-TMRGD
11.0,No,Month-to-month,No,Electronic check,50.55,565.35,Female,0,Yes,Yes,No phone service,DSL,Yes,No,No,No,Yes,Yes,No,8108-UXRQN
7.0,Yes,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Female,0,Yes,No,No,Fiber optic,No,No,Yes,No,No,No,Yes,9191-MYQKX
42.0,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,Female,0,No,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No,9919-YLNNG
49.0,Yes,Two year,Yes,Bank transfer (automatic),20.15,973.35,Female,0,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,0318-ZOPWS
9.0,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,Male,0,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,No,4445-ZJNMU
35.0,Yes,One year,Yes,Bank transfer (automatic),62.15,2215.45,Female,0,Yes,No,No,DSL,Yes,No,No,No,Yes,No,No,4808-YNLEU
48.0,Yes,Two year,No,Bank transfer (automatic),20.65,1057.0,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,1862-QRWPE
46.0,Yes,Two year,Yes,Mailed check,19.95,927.1,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,2796-NNUFI
29.0,No,Month-to-month,No,Mailed check,33.75,1009.25,Male,0,Yes,No,No phone service,DSL,No,No,No,No,Yes,No,No,3016-KSVCP
30.0,Yes,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,Male,0,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,No,4767-HZZHQ
1.0,Yes,Month-to-month,No,Electronic check,74.7,74.7,Male,1,No,No,No,Fiber optic,No,No,No,Yes,No,No,No,2424-WVHPL
66.0,Yes,Two year,Yes,Mailed check,84.0,5714.25,Male,0,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,No,7233-PAHHL
65.0,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,Female,0,No,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No,6067-NGCEU
72.0,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,Male,0,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,9848-JQJTX
12.0,Yes,Month-to-month,Yes,Electronic check,78.95,927.35,Female,0,No,No,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,8637-XJIVR
71.0,Yes,One year,Yes,Credit card (automatic),66.85,4748.7,Male,0,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,9803-FTJCG
5.0,Yes,Month-to-month,No,Mailed check,21.05,113.85,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0278-YXOOG
52.0,Yes,Two year,No,Bank transfer (automatic),21.0,1107.2,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,3212-KXOCR
25.0,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Female,1,Yes,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,4598-XLKNJ
1.0,Yes,Month-to-month,No,Mailed check,20.2,20.2,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,6380-ARCEH
1.0,Yes,Month-to-month,No,Electronic check,19.45,19.45,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,3679-XASPY
38.0,Yes,One year,No,Bank transfer (automatic),95.0,3605.6,Male,0,No,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,No,7123-WQUHX
66.0,No,One year,No,Bank transfer (automatic),45.55,3027.25,Female,1,Yes,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,No,5386-THSLQ
68.0,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Male,0,Yes,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,3192-NQECA
5.0,No,Month-to-month,No,Mailed check,24.3,100.2,Male,0,No,No,No phone service,DSL,No,No,No,No,No,No,No,6180-YBIQI
72.0,Yes,One year,Yes,Electronic check,104.15,7303.05,Female,0,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,No,6728-DKUCO
32.0,No,One year,No,Mailed check,30.15,927.65,Female,0,No,No,No phone service,DSL,Yes,No,No,No,No,No,No,9750-BOOHV
43.0,Yes,One year,No,Mailed check,94.35,3921.3,Male,0,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,No,8597-CWYHH
72.0,Yes,Two year,No,Credit card (automatic),19.4,1363.25,Male,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,2848-YXSMW
55.0,Yes,Month-to-month,Yes,Electronic check,96.75,5238.9,Male,0,Yes,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,0486-HECZI
52.0,Yes,One year,No,Credit card (automatic),57.95,3042.25,Female,0,No,No,No,DSL,Yes,No,Yes,Yes,No,No,No,4549-ZDQYY
43.0,Yes,Month-to-month,Yes,Electronic check,91.65,3954.1,Female,0,No,No,No,Fiber optic,No,Yes,Yes,No,Yes,No,No,5712-AHQNN
37.0,Yes,Month-to-month,Yes,Electronic check,76.5,2868.15,Female,1,Yes,No,Yes,Fiber optic,No,No,No,No,No,No,Yes,4846-WHAFZ
64.0,No,Two year,Yes,Electronic check,54.6,3423.5,Female,0,Yes,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,No,5256-SKJGO
3.0,Yes,Month-to-month,No,Electronic check,89.85,248.4,Male,0,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,No,3071-VBYPO
36.0,No,Two year,No,Bank transfer (automatic),31.05,1126.35,Female,0,No,No,No phone service,DSL,Yes,No,No,No,No,No,No,9560-BBZXK
10.0,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Female,0,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,5299-RULOA
41.0,Yes,Two year,No,Mailed check,20.65,835.15,Female,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,8402-OOOHJ
27.0,Yes,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,Male,0,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,No,9445-ZUEQE
56.0,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,Female,0,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,No,1091-SOZGA
6.0,Yes,Month-to-month,No,Mailed check,20.7,112.75,Female,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,2928-HLDBA
3.0,Yes,Month-to-month,Yes,Electronic check,74.4,229.55,Male,0,No,No,Yes,Fiber optic,No,No,No,No,No,No,Yes,0404-SWRVG
7.0,Yes,Month-to-month,No,Mailed check,50.7,350.35,Female,0,Yes,Yes,No,DSL,Yes,No,No,No,No,No,No,6497-TILVL
4.0,Yes,Month-to-month,No,Mailed check,20.85,62.9,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,7219-TLZHO
33.0,Yes,Two year,Yes,Electronic check,88.95,3027.65,Male,0,No,No,No,Fiber optic,Yes,No,No,Yes,Yes,No,No,4622-YNKIJ
27.0,Yes,Month-to-month,Yes,Electronic check,78.05,2135.5,Female,1,No,No,Yes,Fiber optic,No,No,Yes,No,No,No,Yes,4412-YLTKF
72.0,Yes,Two year,Yes,Bank transfer (automatic),23.55,1723.95,Male,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,6734-PSBAW
1.0,Yes,Month-to-month,No,Mailed check,19.75,19.75,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,3930-ZGWVE
71.0,No,One year,Yes,Electronic check,56.45,3985.35,Male,1,No,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,No,2639-UGMAZ
13.0,Yes,Month-to-month,Yes,Electronic check,85.95,1215.65,Female,0,No,No,Yes,Fiber optic,No,No,No,No,No,Yes,No,2876-GZYZC
25.0,No,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Female,0,Yes,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,6207-WIOLX
67.0,Yes,Two year,No,Bank transfer (automatic),50.55,3260.1,Male,0,No,No,No,DSL,No,No,No,Yes,No,No,No,8587-XYZSF
1.0,No,Month-to-month,Yes,Electronic check,35.45,35.45,Male,0,No,No,No phone service,DSL,No,No,No,No,No,Yes,Yes,3091-FYHKI
2.0,Yes,Month-to-month,No,Electronic check,44.35,81.25,Male,0,No,No,No,DSL,No,No,No,No,No,No,Yes,2372-HWUHI
43.0,Yes,Two year,Yes,Credit card (automatic),25.7,1188.2,Female,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,7799-LGRDP
23.0,Yes,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,Female,0,No,No,No,Fiber optic,Yes,No,No,No,No,No,No,7850-VWJUU
64.0,Yes,Two year,No,Mailed check,20.2,1277.75,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,3774-VBNXY
57.0,Yes,Two year,Yes,Mailed check,19.6,1170.55,Male,0,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,6217-KDYWC
1.0,Yes,Month-to-month,Yes,Mailed check,70.45,70.45,Female,1,Yes,No,No,Fiber optic,No,No,No,No,No,No,Yes,0390-DCFDQ
72.0,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65,Female,1,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,3146-MSEGF
8.0,Yes,Month-to-month,No,Electronic check,71.15,563.65,Female,0,No,No,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,4080-OGPJL
61.0,Yes,Two year,Yes,Bank transfer (automatic),101.05,5971.25,Female,0,Yes,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,No,1095-WGNGG
64.0,Yes,One year,Yes,Credit card (automatic),84.3,5289.05,Male,0,No,No,Yes,Fiber optic,Yes,Yes,No,No,No,No,No,2636-SJDOU
71.0,Yes,Two year,No,Bank transfer (automatic),23.95,1756.2,Male,1,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,1131-QQZEB
